"from_user_id","to_user_id","betweenness"
"1193","1296",182
"192","753",98.8067366847418
"496","921",131.851275097726
"921","675",1427.94579446865
"675","753",39.4240640242111
"540","753",24.9097796717761
"540","540",0
"768","1277",2.58333333333333
"540","1231",159.700153209737
"1277","921",731.888688127968
"1219","1346",3
"385","1219",257.793907481407
"385","1219",257.793907481407
"921","1354",180
"527","1358",150.196645021645
"650","1362",180
"385","1364",180
"527","1370",90
"1286","540",573.374212619094
"667","1377",1
"650","527",1665.73333333333
"385","1346",177
"768","1277",2.58333333333333
"768","675",397.136821511821
"528","527",106.687545400053
"1184","233",1
"768","753",20.002380952381
"1393","396",466
"753","1277",109.140207303313
"921","675",1427.94579446865
"753","1277",109.140207303313
"1231","1211",181
"675","1231",200.299846790263
"527","1370",90
"385","385",0
"385","1237",96.3427475677476
"1184","753",465
"921","753",77.3171497584541
"6","527",938.891277628819
"527","1455",264.55038995304
"385","1455",54.0334415584416
"630","630",0
"18","1457",5.5
"768","753",20.002380952381
"768","753",20.002380952381
"753","1277",109.140207303313
"675","1493",180
"527","1110",69.8619047619048
"921","891",180
"768","753",20.002380952381
"1455","1455",0
"768","1518",2
"527","753",988.296222796748
"921","1277",4.1243828635133
"364","1524",180
"385","1532",180
"650","753",177.266666666667
"379","1219",465
"1455","1455",0
"1535","650",466
"921","753",77.3171497584541
"921","1277",4.1243828635133
"527","1457",174.5
"385","1552",180
"1557","527",1241.2876984127
"1455","921",2522.33735631915
"1145","1455",464
"1559","1478",1
"1070","753",466
"753","1529",180
"6","179",179
"974","1237",466
"477","1622",360
"1626","6",1635.48197979931
"6","1633",60.0000000000001
"540","1631",180
"96","1623",180
"540","753",24.9097796717761
"1442","1647",1
"18","96",164.730028136859
"6","1633",60.0000000000001
"6","528",340.832778789987
"364","1626",1650.25384106988
"1622","1639",181
"385","35",1014.37235988736
"6","1626",256.828927534406
"1669","753",466
"1668","768",472
"496","753",87.5900207717119
"1426","1426",0
"6","192",258.368049630418
"18","1630",41.5230769230769
"496","753",87.5900207717119
"527","496",1159.49106393026
"792","364",84.3491012610578
"12","1697",180
"18","1237",4.97063357063357
"1711","1710",1
"1478","1478",0
"540","540",0
"1277","753",356.766972227079
"1455","1455",0
"768","1455",7.58333333333333
"18","1735",180
"1740","1739",2
"1630","1719",180
"768","753",20.002380952381
"6","1738",8.64664747017688
"1730","1750",1
"1723","75",11.7640609390609
"6","1738",8.64664747017688
"921","1752",9.36238176085376
"675","1752",56.3118803491968
"540","753",24.9097796717761
"753","1752",104.909071223283
"1455","1455",0
"540","753",24.9097796717761
"6","1738",8.64664747017688
"1793","1751",2
"18","1801",32.6205128205128
"1809","1807",1
"1723","1810",180
"1723","1237",30.9711904761905
"540","1689",180
"1626","1751",185.916666666667
"1809","1277",466
"1826","611",1
"1751","1752",10.4166666666667
"1723","1426",180
"1835","1833",181
"1723","1738",98.4598930481284
"6","1836",180
"6","1738",8.64664747017688
"1723","1169",74.759040959041
"1723","1845",180
"752","1237",327.223276070776
"540","540",0
"540","540",0
"752","1868",180
"1219","1219",0
"528","1872",180
"540","753",24.9097796717761
"540","1277",102.849502563663
"1455","1455",0
"521","1751",3.5
"1723","1883",180
"1237","1169",105.240959040959
"768","1752",1
"12","1898",11.6287572077046
"1723","527",2196.80412220185
"752","527",231.620303574273
"752","527",231.620303574273
"1723","752",348.998792834689
"496","1912",128.148717948718
"1723","1912",51.8512820512821
"528","1924",106.803227808031
"753","1938",180
"477","1801",145.379487179487
"527","1942",180
"540","1377",179
"1948","1947",466
"496","1953",180
"752","1952",180
"1723","752",348.998792834689
"1966","1557",466
"796","753",732.206437804867
"540","753",24.9097796717761
"753","540",2693.57357310041
"540","796",305.274987495933
"752","1933",175.8
"752","1817",180
"1723","1958",180
"6","752",155.798518503275
"752","2005",180
"752","1358",29.8033549783549
"364","387",112.145815626022
"768","2025",1
"768","2025",1
"1455","2046",180
"517","1947",102.363620637189
"1145","695",1
"1898","1898",0
"1083","2056",1
"768","1277",2.58333333333333
"1455","1455",0
"540","2074",179
"768","1934",2
"2088","1971",1
"12","2093",180
"1626","2095",23.4119047619048
"527","2095",156.588095238095
"768","1752",1
"23","2098",180
"675","753",39.4240640242111
"1557","1478",89.5
"1455","2106",79.5193636428931
"1557","2011",904.2
"540","2112",180
"527","1738",120.551157176157
"1557","1971",180
"2126","796",466
"540","753",24.9097796717761
"1626","2128",41.8673309420049
"1730","2049",1
"753","2106",100.480636357107
"1626","2128",41.8673309420049
"1557","2133",9.14166666666667
"1557","1738",9.27272727272727
"527","675",521.295721724878
"1557","2157",188.629780595222
"2165","2161",1
"1123","179",1
"2088","2185",1
"2088","1933",1
"18","715",179
"18","1626",169.118111319997
"1723","2128",43.629692867519
"1723","2133",170.858333333333
"2225","96",466
"1723","2222",283.584680748655
"1723","1110",40.2761904761905
"1723","540",326.913728564068
"2160","527",402.495238095238
"1723","527",2196.80412220185
